# bin wp err_mocks err_jk_mock0 err_jk_mock1
0.031 3865.337  nan 664.749 1323.474
0.094 1223.712 184.231 105.702 196.571
0.156 765.205 96.511 84.919 83.118
0.219 572.161 71.508 46.496 68.410
0.281 428.565 44.673 49.391 39.473
0.372 314.948 41.074 30.894 30.814
0.511 225.969 23.796 13.347 21.499
0.693 163.271 23.081 24.948 18.942
0.933 121.595 17.197 15.020 14.154
1.250 90.756 14.689 8.796 10.397
1.668 71.319 9.976 6.571 8.097
2.219 57.121 9.340 8.001 8.037
2.945 47.076 7.814 5.690 6.807
3.902 38.079 6.431 5.395 4.363
5.163 31.139 6.392 4.947 4.946
6.827 24.979 5.063 4.209 2.930
9.019 19.763 4.699 4.224 2.874
11.909 15.152 3.929 2.825 2.468
15.720 10.831 3.864 2.207 1.394
20.742 7.236 3.582 2.166 1.971
27.364 4.793 3.347 1.728 2.642
36.092 2.534 3.320 1.735 1.864
52.528 0.713 2.553 2.731 1.584
