# bin wp err_mocks err_jk_mock0 err_jk_mock1
0.031  nan  nan  nan  nan
0.094  nan  nan  nan  nan
0.156  nan  nan  nan  nan
0.219  nan  nan  nan  nan
0.281 1589.736  nan  nan  nan
0.372 799.960  nan  nan  nan
0.511 401.807  nan  nan  nan
0.693 400.471  nan  nan  nan
0.933 256.894  nan  nan  nan
1.250 137.316  nan  nan 94.862
1.668 116.808  nan  nan 78.665
2.219 97.200 56.539 72.983 59.246
2.945 99.491 51.988 25.325 49.098
3.902 58.105 33.717 53.992 26.752
5.163 57.505 33.347 25.869 26.178
6.827 45.473 22.602 15.774 18.998
9.019 31.241 20.514 12.086 13.941
11.909 21.710 10.742 15.684 13.135
15.720 17.279 9.011 14.713 11.740
20.742 10.349 7.693 7.806 16.795
27.364 4.745 8.071 6.589 12.821
36.092 0.070 7.037 5.722 5.320
52.528 -0.062 5.479 6.666 6.946
