# bin wp err_mocks err_jk_mock0 err_jk_mock1
0.031 1073.033  nan 380.833 222.665
0.094 698.023  nan 124.974 140.590
0.156 544.437 227.694 99.726 111.270
0.219 451.304 210.777 90.690 84.269
0.281 389.728 200.947 65.814 78.564
0.372 313.201 172.616 58.403 57.234
0.511 246.987 141.050 46.314 44.533
0.693 183.566 111.178 35.754 36.587
0.933 130.981 79.276 25.830 28.482
1.250 88.695 51.699 18.787 25.954
1.668 56.937 28.106 15.527 20.889
2.219 38.664 17.484 10.785 18.612
2.945 29.172 15.065 10.397 13.459
3.902 20.634 12.240 10.932 11.817
5.163 15.995 12.336 12.021 10.367
6.827 10.507 11.276 11.863 9.774
9.019 6.301 11.844 8.496 8.099
11.909 -3.437 8.780 4.247 9.208
15.720 -5.701 10.796 7.495 14.016
20.742 -7.036 12.685 17.352 13.934
27.364 -5.336 17.079 10.405 9.692
36.092  nan  nan  nan  nan
52.528  nan  nan  nan  nan
